life,death,model
6,1,4000787030016
6,0, 00MD00
1379,0,TOSHIBA DT01ACA300
328,0,TOSHIBA DT01ACA300
1560,0,TOSHIBA DT01ACA300
500,0,TOSHIBA DT01ACA300
1549,0,TOSHIBA DT01ACA300
353,0,TOSHIBA DT01ACA300
1289,0,TOSHIBA DT01ACA300
667,0,TOSHIBA DT01ACA300
1403,0,TOSHIBA DT01ACA300
1435,0,TOSHIBA DT01ACA300
918,1,TOSHIBA DT01ACA300
1533,0,TOSHIBA DT01ACA300
1302,0,TOSHIBA DT01ACA300
1449,0,TOSHIBA DT01ACA300
1403,0,TOSHIBA DT01ACA300
666,0,TOSHIBA DT01ACA300
1440,0,TOSHIBA DT01ACA300
859,0,TOSHIBA DT01ACA300
447,0,TOSHIBA DT01ACA300
1302,0,TOSHIBA DT01ACA300
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
30,0,TOSHIBA MQ01ABF050M
81,0,TOSHIBA MQ01ABF050M
106,0,TOSHIBA MQ01ABF050M
185,0,TOSHIBA MQ01ABF050M
112,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
193,0,TOSHIBA MQ01ABF050M
77,0,TOSHIBA MQ01ABF050M
77,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
37,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
24,0,TOSHIBA MQ01ABF050M
77,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
43,0,TOSHIBA MQ01ABF050M
24,0,TOSHIBA MQ01ABF050M
24,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
24,0,TOSHIBA MQ01ABF050M
77,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
98,0,TOSHIBA MQ01ABF050M
77,0,TOSHIBA MQ01ABF050M
37,0,TOSHIBA MQ01ABF050M
