HGST HMS5C4040ALE640,HGST 4TB HMS5C4040ALE640,HGST
HGST HMS5C4040BLE640,HGST 4TB HMS5C4040BLE640,HGST
Hitachi HDS722020ALA330,Hitachi 2TB HDS722020ALA330,Hitachi
Hitachi HDS5C3030ALA630,Hitachi 2TB HDS5C3030ALA630,Hitachi
Hitachi HDS723030ALA640,Hitachi 3TB HDS723030ALA640,Hitachi
Hitachi HDS5C4040ALE630,Hitachi 4TB HDS5C4040ALE630,Hitachi
ST31500341AS,Seagate 1.5TB ST31500341AS,Seagate
ST31500541AS,Seagate 1.5TB ST31500541AS,Seagate
ST3000DM001,Seagate 3TB ST3000DM001,Seagate
ST4000DM000,Seagate 4TB ST4000DM000,Seagate
ST500LM012 HN,Seagate 500GB ST500LM012 HN,Seagate
ST6000DX000,Seagate 6TB ST6000DX000,Seagate
ST8000DM002,Seagate 8TB ST8000DM002,Seagate
ST8000NM0055,Seagate E 8TB ST8000NM0055,Seagate
WDC WD10EADS,WDC 1TB WD10EADS,WDC
WDC WD30EFRX,WDC 3TB WD30EFRX,WDC
WDC WD30EZRX,WDC 3TB WD30EZRX,WDC
ST10000NM0086,Seagate E 10TB ST10000NM0086,Seagate
ST12000NM0007,Seagate E 12TB ST12000NM0007,Seagate
ST4000DM005,Seagate 4TB ST4000DM005,Seagate
